canonical_mask,orbit_size,essential_arity,has_affine_orientation,active_value,affine_fiber_size,fiber0_size,fiber0_affine_cells,fiber0_bijunctive,fiber1_size,fiber1_affine_cells,fiber1_bijunctive
0x00,2,0,True,0,8,8,1,True,0,0,True
0x01,16,3,True,1,1,7,3,False,1,1,True
0x03,24,2,True,1,2,6,2,True,2,1,True
0x06,24,3,True,1,2,6,2,False,2,1,True
0x07,48,3,False,,,5,2,True,3,2,True
0x0f,6,1,True,1,4,4,1,True,4,1,True
0x16,16,3,False,,,5,2,False,3,2,False
0x17,8,3,False,,,4,2,True,4,2,True
0x18,8,3,True,1,2,6,2,False,2,1,True
0x19,48,3,False,,,5,2,False,3,2,True
0x1b,24,3,False,,,4,2,True,4,2,True
0x1e,24,3,False,,,4,2,False,4,2,False
0x3c,6,2,True,1,4,4,1,True,4,1,True
0x69,2,3,True,1,4,4,1,False,4,1,False
